Report Date,Borough,Community District,Case Type,Cases,Individuals
03/31/2019,Brooklyn,1,All Case Types,239,440
03/31/2019,Brooklyn,2,All Case Types,268,450
03/31/2019,Brooklyn,3,All Case Types,949,"1,779"
03/31/2019,Brooklyn,4,All Case Types,386,729
03/31/2019,Brooklyn,5,All Case Types,"1,315","2,718"
03/31/2019,Brooklyn,6,All Case Types,162,289
03/31/2019,Brooklyn,7,All Case Types,130,269
03/31/2019,Brooklyn,8,All Case Types,458,876
03/31/2019,Brooklyn,9,All Case Types,347,628
03/31/2019,Brooklyn,10,All Case Types,68,115
03/31/2019,Brooklyn,11,All Case Types,104,214
03/31/2019,Brooklyn,12,All Case Types,91,160
03/31/2019,Brooklyn,13,All Case Types,206,428
03/31/2019,Brooklyn,14,All Case Types,307,604
03/31/2019,Brooklyn,15,All Case Types,88,160
03/31/2019,Brooklyn,16,All Case Types,768,"1,618"
03/31/2019,Brooklyn,17,All Case Types,676,"1,426"
03/31/2019,Brooklyn,18,All Case Types,410,816
03/31/2019,Brooklyn,Unknown CD,All Case Types,"1,343","2,319"
03/31/2019,Manhattan,1,All Case Types,214,444
03/31/2019,Manhattan,2,All Case Types,31,37
03/31/2019,Manhattan,3,All Case Types,355,640
03/31/2019,Manhattan,4,All Case Types,209,298
03/31/2019,Manhattan,5,All Case Types,92,129
03/31/2019,Manhattan,6,All Case Types,125,157
03/31/2019,Manhattan,7,All Case Types,181,291
03/31/2019,Manhattan,8,All Case Types,89,121
03/31/2019,Manhattan,9,All Case Types,367,670
03/31/2019,Manhattan,10,All Case Types,791,"1,417"
03/31/2019,Manhattan,11,All Case Types,786,"1,422"
03/31/2019,Manhattan,12,All Case Types,402,792
03/31/2019,Manhattan,Unknown CD,All Case Types,"1,864","2,621"
03/31/2019,Queens,1,All Case Types,551,767
03/31/2019,Queens,2,All Case Types,276,343
03/31/2019,Queens,3,All Case Types,149,316
03/31/2019,Queens,4,All Case Types,123,213
03/31/2019,Queens,5,All Case Types,132,262
03/31/2019,Queens,6,All Case Types,23,35
03/31/2019,Queens,7,All Case Types,114,204
03/31/2019,Queens,8,All Case Types,148,265
03/31/2019,Queens,9,All Case Types,161,309
03/31/2019,Queens,10,All Case Types,159,299
03/31/2019,Queens,11,All Case Types,17,27
03/31/2019,Queens,12,All Case Types,915,"1,810"
03/31/2019,Queens,13,All Case Types,327,632
03/31/2019,Queens,14,All Case Types,487,"1,007"
03/31/2019,Queens,Unknown CD,All Case Types,"1,087","1,923"
03/31/2019,Staten Island,1,All Case Types,405,917
03/31/2019,Staten Island,2,All Case Types,50,100
03/31/2019,Staten Island,3,All Case Types,22,45
03/31/2019,Staten Island,Unknown CD,All Case Types,115,209
02/28/2019,Bronx,1,All Case Types,875,"2,043"
02/28/2019,Bronx,2,All Case Types,421,"1,004"
02/28/2019,Bronx,3,All Case Types,829,"1,952"
02/28/2019,Bronx,4,All Case Types,960,"2,257"
02/28/2019,Bronx,5,All Case Types,935,"2,187"
02/28/2019,Bronx,6,All Case Types,709,"1,706"
02/28/2019,Bronx,7,All Case Types,684,"1,523"
02/28/2019,Bronx,8,All Case Types,172,371
02/28/2019,Bronx,9,All Case Types,831,"1,924"
02/28/2019,Bronx,10,All Case Types,220,479
02/28/2019,Bronx,11,All Case Types,361,782
02/28/2019,Bronx,12,All Case Types,773,"1,795"
02/28/2019,Bronx,Unknown CD,All Case Types,"1,663","3,245"
02/28/2019,Brooklyn,1,All Case Types,260,509
02/28/2019,Brooklyn,2,All Case Types,270,490
02/28/2019,Brooklyn,3,All Case Types,"1,002","2,007"
02/28/2019,Brooklyn,4,All Case Types,408,862
02/28/2019,Brooklyn,5,All Case Types,"1,228","2,657"
02/28/2019,Brooklyn,6,All Case Types,166,343
02/28/2019,Brooklyn,7,All Case Types,134,276
02/28/2019,Brooklyn,8,All Case Types,482,976
02/28/2019,Brooklyn,9,All Case Types,311,621
02/28/2019,Brooklyn,10,All Case Types,65,115
02/28/2019,Brooklyn,11,All Case Types,94,169
02/28/2019,Brooklyn,12,All Case Types,94,161
02/28/2019,Brooklyn,13,All Case Types,221,476
02/28/2019,Brooklyn,14,All Case Types,296,577
02/28/2019,Brooklyn,15,All Case Types,106,229
02/28/2019,Brooklyn,16,All Case Types,802,"1,713"
02/28/2019,Brooklyn,17,All Case Types,634,"1,349"
02/28/2019,Brooklyn,18,All Case Types,382,789
02/28/2019,Brooklyn,Unknown CD,All Case Types,"1,227","2,063"
02/28/2019,Manhattan,1,All Case Types,188,408
02/28/2019,Manhattan,2,All Case Types,28,36
02/28/2019,Manhattan,3,All Case Types,368,704
02/28/2019,Manhattan,4,All Case Types,212,315
02/28/2019,Manhattan,5,All Case Types,145,199
02/28/2019,Manhattan,6,All Case Types,104,144
02/28/2019,Manhattan,7,All Case Types,223,406
02/28/2019,Manhattan,8,All Case Types,75,101
02/28/2019,Manhattan,9,All Case Types,407,772
02/28/2019,Manhattan,10,All Case Types,809,"1,569"
02/28/2019,Manhattan,11,All Case Types,794,"1,499"
02/28/2019,Manhattan,12,All Case Types,438,894
02/28/2019,Manhattan,Unknown CD,All Case Types,"1,843","2,709"
02/28/2019,Queens,1,All Case Types,434,627
02/28/2019,Queens,2,All Case Types,212,287
02/28/2019,Queens,3,All Case Types,142,299
02/28/2019,Queens,4,All Case Types,125,261
02/28/2019,Queens,5,All Case Types,138,307
02/28/2019,Queens,6,All Case Types,31,45
02/28/2019,Queens,7,All Case Types,98,177
02/28/2019,Queens,8,All Case Types,148,260
02/28/2019,Queens,9,All Case Types,152,278
02/28/2019,Queens,10,All Case Types,120,228
02/28/2019,Queens,11,All Case Types,16,22
02/28/2019,Queens,12,All Case Types,820,"1,654"
02/28/2019,Queens,13,All Case Types,300,559
02/28/2019,Queens,14,All Case Types,452,951
02/28/2019,Queens,Unknown CD,All Case Types,"1,166","2,250"
02/28/2019,Staten Island,1,All Case Types,402,922
02/28/2019,Staten Island,2,All Case Types,47,83
02/28/2019,Staten Island,3,All Case Types,34,64
02/28/2019,Staten Island,Unknown CD,All Case Types,138,292
01/31/2019,Bronx,1,All Case Types,883,"2,079"
01/31/2019,Bronx,2,All Case Types,438,"1,025"
01/31/2019,Bronx,3,All Case Types,856,"1,986"
01/31/2019,Bronx,4,All Case Types,961,"2,264"
01/31/2019,Bronx,5,All Case Types,934,"2,189"
01/31/2019,Bronx,6,All Case Types,692,"1,683"
01/31/2019,Bronx,7,All Case Types,700,"1,569"
01/31/2019,Bronx,8,All Case Types,172,383
01/31/2019,Bronx,9,All Case Types,846,"1,983"
01/31/2019,Bronx,10,All Case Types,213,460
01/31/2019,Bronx,11,All Case Types,347,760
01/31/2019,Bronx,12,All Case Types,784,"1,827"
01/31/2019,Bronx,Unknown CD,All Case Types,"1,636","3,218"
01/31/2019,Brooklyn,1,All Case Types,259,517
01/31/2019,Brooklyn,2,All Case Types,267,492
01/31/2019,Brooklyn,3,All Case Types,"1,010","2,013"
01/31/2019,Brooklyn,4,All Case Types,420,896
01/31/2019,Brooklyn,5,All Case Types,"1,245","2,699"
01/31/2019,Brooklyn,6,All Case Types,171,346
01/31/2019,Brooklyn,7,All Case Types,137,283
01/31/2019,Brooklyn,8,All Case Types,470,942
01/31/2019,Brooklyn,9,All Case Types,310,625
01/31/2019,Brooklyn,10,All Case Types,62,109
01/31/2019,Brooklyn,11,All Case Types,88,165
01/31/2019,Brooklyn,12,All Case Types,91,164
01/31/2019,Brooklyn,13,All Case Types,225,475
01/31/2019,Brooklyn,14,All Case Types,309,610
01/31/2019,Brooklyn,15,All Case Types,106,232
01/31/2019,Brooklyn,16,All Case Types,829,"1,789"
01/31/2019,Brooklyn,17,All Case Types,649,"1,383"
01/31/2019,Brooklyn,18,All Case Types,372,773
01/31/2019,Brooklyn,Unknown CD,All Case Types,"1,237","2,102"
01/31/2019,Manhattan,1,All Case Types,189,424
01/31/2019,Manhattan,2,All Case Types,34,46
01/31/2019,Manhattan,3,All Case Types,364,692
01/31/2019,Manhattan,4,All Case Types,205,312
01/31/2019,Manhattan,5,All Case Types,154,213
01/31/2019,Manhattan,6,All Case Types,96,133
01/31/2019,Manhattan,7,All Case Types,220,406
01/31/2019,Manhattan,8,All Case Types,69,98
01/31/2019,Manhattan,9,All Case Types,407,761
01/31/2019,Manhattan,10,All Case Types,819,"1,584"
01/31/2019,Manhattan,11,All Case Types,827,"1,565"
01/31/2019,Manhattan,12,All Case Types,429,882
01/31/2019,Manhattan,Unknown CD,All Case Types,"1,829","2,670"
01/31/2019,Queens,1,All Case Types,444,654
01/31/2019,Queens,2,All Case Types,217,290
01/31/2019,Queens,3,All Case Types,143,297
01/31/2019,Queens,4,All Case Types,125,259
01/31/2019,Queens,5,All Case Types,137,297
01/31/2019,Queens,6,All Case Types,29,44
01/31/2019,Queens,7,All Case Types,99,185
01/31/2019,Queens,8,All Case Types,137,245
01/31/2019,Queens,9,All Case Types,149,284
01/31/2019,Queens,10,All Case Types,118,227
01/31/2019,Queens,11,All Case Types,16,22
01/31/2019,Queens,12,All Case Types,828,"1,683"
01/31/2019,Queens,13,All Case Types,292,567
01/31/2019,Queens,14,All Case Types,453,962
01/31/2019,Queens,Unknown CD,All Case Types,"1,211","2,355"
01/31/2019,Staten Island,1,All Case Types,388,903
01/31/2019,Staten Island,2,All Case Types,42,75
01/31/2019,Staten Island,3,All Case Types,33,60
01/31/2019,Staten Island,Unknown CD,All Case Types,145,317
12/31/2018,Bronx,1,All Case Types,959,"2,151"
12/31/2018,Bronx,2,All Case Types,481,"1,071"
12/31/2018,Bronx,3,All Case Types,820,"1,920"
12/31/2018,Bronx,4,All Case Types,"1,025","2,378"
12/31/2018,Bronx,5,All Case Types,944,"2,191"
12/31/2018,Bronx,6,All Case Types,738,"1,765"
12/31/2018,Bronx,7,All Case Types,637,"1,405"
12/31/2018,Bronx,8,All Case Types,192,408
12/31/2018,Bronx,9,All Case Types,897,"2,015"
12/31/2018,Bronx,10,All Case Types,240,507
12/31/2018,Bronx,11,All Case Types,378,796
12/31/2018,Bronx,12,All Case Types,822,"1,868"
12/31/2018,Bronx,Unknown CD,All Case Types,"1,545","2,823"
12/31/2018,Brooklyn,1,All Case Types,242,452
12/31/2018,Brooklyn,2,All Case Types,268,450
12/31/2018,Brooklyn,3,All Case Types,982,"1,876"
12/31/2018,Brooklyn,4,All Case Types,400,789
12/31/2018,Brooklyn,5,All Case Types,"1,302","2,705"
12/31/2018,Brooklyn,6,All Case Types,167,314
12/31/2018,Brooklyn,7,All Case Types,137,292
12/31/2018,Brooklyn,8,All Case Types,449,865
12/31/2018,Brooklyn,9,All Case Types,352,640
12/31/2018,Brooklyn,10,All Case Types,56,94
12/31/2018,Brooklyn,11,All Case Types,99,200
12/31/2018,Brooklyn,12,All Case Types,83,154
12/31/2018,Brooklyn,13,All Case Types,214,414
12/31/2018,Brooklyn,14,All Case Types,310,611
12/31/2018,Brooklyn,15,All Case Types,90,163
12/31/2018,Brooklyn,16,All Case Types,808,"1,754"
12/31/2018,Brooklyn,17,All Case Types,644,"1,351"
12/31/2018,Brooklyn,18,All Case Types,418,858
12/31/2018,Brooklyn,Unknown CD,All Case Types,"1,307","2,258"
12/31/2018,Manhattan,1,All Case Types,187,389
12/31/2018,Manhattan,2,All Case Types,33,45
12/31/2018,Manhattan,3,All Case Types,358,664
12/31/2018,Manhattan,4,All Case Types,186,264
12/31/2018,Manhattan,5,All Case Types,128,198
12/31/2018,Manhattan,6,All Case Types,115,154
12/31/2018,Manhattan,7,All Case Types,182,299
12/31/2018,Manhattan,8,All Case Types,78,112
12/31/2018,Manhattan,9,All Case Types,360,682
12/31/2018,Manhattan,10,All Case Types,788,"1,451"
12/31/2018,Manhattan,11,All Case Types,784,"1,427"
12/31/2018,Manhattan,12,All Case Types,415,840
12/31/2018,Manhattan,Unknown CD,All Case Types,"1,873","2,668"
12/31/2018,Queens,1,All Case Types,522,746
12/31/2018,Queens,2,All Case Types,264,345
12/31/2018,Queens,3,All Case Types,152,333
12/31/2018,Queens,4,All Case Types,116,221
12/31/2018,Queens,5,All Case Types,129,251
12/31/2018,Queens,6,All Case Types,24,35
12/31/2018,Queens,7,All Case Types,105,192
12/31/2018,Queens,8,All Case Types,150,266
12/31/2018,Queens,9,All Case Types,158,315
12/31/2018,Queens,10,All Case Types,152,285
12/31/2018,Queens,11,All Case Types,27,41
12/31/2018,Queens,12,All Case Types,875,"1,775"
12/31/2018,Queens,13,All Case Types,343,654
12/31/2018,Queens,14,All Case Types,513,"1,088"
12/31/2018,Queens,Unknown CD,All Case Types,"1,058","1,869"
12/31/2018,Staten Island,1,All Case Types,424,972
12/31/2018,Staten Island,2,All Case Types,49,83
12/31/2018,Staten Island,3,All Case Types,32,67
12/31/2018,Staten Island,Unknown CD,All Case Types,113,210
11/30/2018,Bronx,1,All Case Types,949,"2,142"
11/30/2018,Bronx,2,All Case Types,467,"1,051"
11/30/2018,Bronx,3,All Case Types,831,"1,942"
11/30/2018,Bronx,4,All Case Types,"1,035","2,430"
11/30/2018,Bronx,5,All Case Types,957,"2,219"
11/30/2018,Bronx,6,All Case Types,748,"1,782"
11/30/2018,Bronx,7,All Case Types,676,"1,515"
11/30/2018,Bronx,8,All Case Types,209,456
11/30/2018,Bronx,9,All Case Types,901,"2,017"
11/30/2018,Bronx,10,All Case Types,253,551
11/30/2018,Bronx,11,All Case Types,370,774
11/30/2018,Bronx,12,All Case Types,822,"1,859"
11/30/2018,Bronx,Unknown CD,All Case Types,"1,527","2,808"
11/30/2018,Brooklyn,1,All Case Types,241,431
11/30/2018,Brooklyn,2,All Case Types,252,432
11/30/2018,Brooklyn,3,All Case Types,985,"1,897"
11/30/2018,Brooklyn,4,All Case Types,397,768
11/30/2018,Brooklyn,5,All Case Types,"1,290","2,694"
11/30/2018,Brooklyn,6,All Case Types,166,315
11/30/2018,Brooklyn,7,All Case Types,136,292
11/30/2018,Brooklyn,8,All Case Types,460,875
11/30/2018,Brooklyn,9,All Case Types,351,639
11/30/2018,Brooklyn,10,All Case Types,52,90
11/30/2018,Brooklyn,11,All Case Types,104,207
11/30/2018,Brooklyn,12,All Case Types,77,153
11/30/2018,Brooklyn,13,All Case Types,224,444
11/30/2018,Brooklyn,14,All Case Types,308,622
11/30/2018,Brooklyn,15,All Case Types,99,194
11/30/2018,Brooklyn,16,All Case Types,788,"1,739"
11/30/2018,Brooklyn,17,All Case Types,656,"1,341"
11/30/2018,Brooklyn,18,All Case Types,400,821
11/30/2018,Brooklyn,Unknown CD,All Case Types,"1,306","2,216"
11/30/2018,Manhattan,1,All Case Types,190,385
11/30/2018,Manhattan,2,All Case Types,30,41
11/30/2018,Manhattan,3,All Case Types,356,646
11/30/2018,Manhattan,4,All Case Types,196,279
11/30/2018,Manhattan,5,All Case Types,131,200
11/30/2018,Manhattan,6,All Case Types,115,147
11/30/2018,Manhattan,7,All Case Types,189,319
11/30/2018,Manhattan,8,All Case Types,80,107
11/30/2018,Manhattan,9,All Case Types,364,702
11/30/2018,Manhattan,10,All Case Types,768,"1,428"
11/30/2018,Manhattan,11,All Case Types,786,"1,411"
11/30/2018,Manhattan,12,All Case Types,425,862
11/30/2018,Manhattan,Unknown CD,All Case Types,"1,908","2,733"
11/30/2018,Queens,1,All Case Types,546,783
11/30/2018,Queens,2,All Case Types,253,333
11/30/2018,Queens,3,All Case Types,153,334
11/30/2018,Queens,4,All Case Types,118,231
11/30/2018,Queens,5,All Case Types,130,259
11/30/2018,Queens,6,All Case Types,25,38
11/30/2018,Queens,7,All Case Types,107,197
11/30/2018,Queens,8,All Case Types,142,254
11/30/2018,Queens,9,All Case Types,153,319
11/30/2018,Queens,10,All Case Types,155,293
11/30/2018,Queens,11,All Case Types,23,36
11/30/2018,Queens,12,All Case Types,874,"1,775"
11/30/2018,Queens,13,All Case Types,340,655
11/30/2018,Queens,14,All Case Types,517,"1,087"
11/30/2018,Queens,Unknown CD,All Case Types,"1,064","1,894"
11/30/2018,Staten Island,1,All Case Types,429,966
11/30/2018,Staten Island,2,All Case Types,44,69
11/30/2018,Staten Island,3,All Case Types,28,60
11/30/2018,Staten Island,Unknown CD,All Case Types,124,233
10/31/2018,Bronx,1,All Case Types,955,"2,163"
10/31/2018,Bronx,2,All Case Types,466,"1,055"
10/31/2018,Bronx,3,All Case Types,837,"1,922"
10/31/2018,Bronx,4,All Case Types,"1,042","2,456"
10/31/2018,Bronx,5,All Case Types,972,"2,219"
10/31/2018,Bronx,6,All Case Types,745,"1,774"
10/31/2018,Bronx,7,All Case Types,661,"1,505"
10/31/2018,Bronx,8,All Case Types,209,464
10/31/2018,Bronx,9,All Case Types,917,"2,064"
10/31/2018,Bronx,10,All Case Types,242,520
10/31/2018,Bronx,11,All Case Types,366,780
10/31/2018,Bronx,12,All Case Types,833,"1,880"
10/31/2018,Bronx,Unknown CD,All Case Types,"1,532","2,818"
10/31/2018,Brooklyn,1,All Case Types,234,459
10/31/2018,Brooklyn,2,All Case Types,238,406
10/31/2018,Brooklyn,3,All Case Types,983,"1,889"
10/31/2018,Brooklyn,4,All Case Types,405,792
10/31/2018,Brooklyn,5,All Case Types,"1,296","2,719"
10/31/2018,Brooklyn,6,All Case Types,168,324
10/31/2018,Brooklyn,7,All Case Types,132,274
10/31/2018,Brooklyn,8,All Case Types,473,924
10/31/2018,Brooklyn,9,All Case Types,349,628
10/31/2018,Brooklyn,10,All Case Types,54,96
10/31/2018,Brooklyn,11,All Case Types,104,210
10/31/2018,Brooklyn,12,All Case Types,79,151
10/31/2018,Brooklyn,13,All Case Types,217,439
10/31/2018,Brooklyn,14,All Case Types,304,620
10/31/2018,Brooklyn,15,All Case Types,94,185
10/31/2018,Brooklyn,16,All Case Types,787,"1,760"
10/31/2018,Brooklyn,17,All Case Types,671,"1,392"
10/31/2018,Brooklyn,18,All Case Types,415,834
10/31/2018,Brooklyn,Unknown CD,All Case Types,"1,304","2,210"
10/31/2018,Manhattan,1,All Case Types,188,389
10/31/2018,Manhattan,2,All Case Types,27,38
10/31/2018,Manhattan,3,All Case Types,364,663
10/31/2018,Manhattan,4,All Case Types,190,275
10/31/2018,Manhattan,5,All Case Types,122,178
10/31/2018,Manhattan,6,All Case Types,113,144
10/31/2018,Manhattan,7,All Case Types,190,322
10/31/2018,Manhattan,8,All Case Types,76,99
10/31/2018,Manhattan,9,All Case Types,371,717
10/31/2018,Manhattan,10,All Case Types,813,"1,510"
10/31/2018,Manhattan,11,All Case Types,783,"1,423"
10/31/2018,Manhattan,12,All Case Types,433,865
10/31/2018,Manhattan,Unknown CD,All Case Types,"1,841","2,663"
10/31/2018,Queens,1,All Case Types,537,767
10/31/2018,Queens,2,All Case Types,244,319
10/31/2018,Queens,3,All Case Types,150,317
10/31/2018,Queens,4,All Case Types,116,229
10/31/2018,Queens,5,All Case Types,125,255
10/31/2018,Queens,6,All Case Types,29,44
10/31/2018,Queens,7,All Case Types,106,189
10/31/2018,Queens,8,All Case Types,139,239
10/31/2018,Queens,9,All Case Types,155,326
10/31/2018,Queens,10,All Case Types,154,281
10/31/2018,Queens,11,All Case Types,24,40
10/31/2018,Queens,12,All Case Types,888,"1,801"
10/31/2018,Queens,13,All Case Types,332,635
10/31/2018,Queens,14,All Case Types,517,"1,085"
10/31/2018,Queens,Unknown CD,All Case Types,"1,068","1,920"
10/31/2018,Staten Island,1,All Case Types,410,940
10/31/2018,Staten Island,2,All Case Types,47,69
10/31/2018,Staten Island,3,All Case Types,30,63
10/31/2018,Staten Island,Unknown CD,All Case Types,120,223
09/30/2018,Bronx,1,All Case Types,932,"2,105"
09/30/2018,Bronx,2,All Case Types,464,"1,064"
09/30/2018,Bronx,3,All Case Types,840,"1,928"
09/30/2018,Bronx,4,All Case Types,"1,038","2,456"
09/30/2018,Bronx,5,All Case Types,956,"2,214"
09/30/2018,Bronx,6,All Case Types,731,"1,727"
09/30/2018,Bronx,7,All Case Types,690,"1,555"
09/30/2018,Bronx,8,All Case Types,215,481
09/30/2018,Bronx,9,All Case Types,888,"2,000"
09/30/2018,Bronx,10,All Case Types,232,493
09/30/2018,Bronx,11,All Case Types,356,749
09/30/2018,Bronx,12,All Case Types,814,"1,839"
09/30/2018,Bronx,Unknown CD,All Case Types,"1,495","2,741"
09/30/2018,Brooklyn,1,All Case Types,248,469
09/30/2018,Brooklyn,2,All Case Types,243,414
09/30/2018,Brooklyn,3,All Case Types,957,"1,851"
09/30/2018,Brooklyn,4,All Case Types,398,773
09/30/2018,Brooklyn,5,All Case Types,"1,295","2,731"
09/30/2018,Brooklyn,6,All Case Types,166,324
09/30/2018,Brooklyn,7,All Case Types,132,280
09/30/2018,Brooklyn,8,All Case Types,481,929
09/30/2018,Brooklyn,9,All Case Types,343,628
09/30/2018,Brooklyn,10,All Case Types,61,103
09/30/2018,Brooklyn,11,All Case Types,101,205
09/30/2018,Brooklyn,12,All Case Types,80,157
09/30/2018,Brooklyn,13,All Case Types,217,444
09/30/2018,Brooklyn,14,All Case Types,296,600
09/30/2018,Brooklyn,15,All Case Types,94,187
09/30/2018,Brooklyn,16,All Case Types,813,"1,787"
09/30/2018,Brooklyn,17,All Case Types,669,"1,412"
09/30/2018,Brooklyn,18,All Case Types,412,846
09/30/2018,Brooklyn,Unknown CD,All Case Types,"1,268","2,165"
09/30/2018,Manhattan,1,All Case Types,193,405
09/30/2018,Manhattan,2,All Case Types,30,37
09/30/2018,Manhattan,3,All Case Types,367,671
09/30/2018,Manhattan,4,All Case Types,192,278
09/30/2018,Manhattan,5,All Case Types,124,175
09/30/2018,Manhattan,6,All Case Types,110,138
09/30/2018,Manhattan,7,All Case Types,196,345
09/30/2018,Manhattan,8,All Case Types,82,106
09/30/2018,Manhattan,9,All Case Types,382,736
09/30/2018,Manhattan,10,All Case Types,813,"1,542"
09/30/2018,Manhattan,11,All Case Types,776,"1,411"
09/30/2018,Manhattan,12,All Case Types,438,882
09/30/2018,Manhattan,Unknown CD,All Case Types,"1,806","2,604"
09/30/2018,Queens,1,All Case Types,509,726
09/30/2018,Queens,2,All Case Types,234,300
09/30/2018,Queens,3,All Case Types,144,305
09/30/2018,Queens,4,All Case Types,130,257
09/30/2018,Queens,5,All Case Types,118,247
09/30/2018,Queens,6,All Case Types,22,33
09/30/2018,Queens,7,All Case Types,106,195
09/30/2018,Queens,8,All Case Types,127,226
09/30/2018,Queens,9,All Case Types,155,330
09/30/2018,Queens,10,All Case Types,143,260
09/30/2018,Queens,11,All Case Types,23,38
09/30/2018,Queens,12,All Case Types,868,"1,779"
09/30/2018,Queens,13,All Case Types,322,615
09/30/2018,Queens,14,All Case Types,503,"1,091"
09/30/2018,Queens,Unknown CD,All Case Types,"1,043","1,908"
09/30/2018,Staten Island,1,All Case Types,408,948
09/30/2018,Staten Island,2,All Case Types,50,79
09/30/2018,Staten Island,3,All Case Types,30,58
09/30/2018,Staten Island,Unknown CD,All Case Types,111,195
08/31/2018,Bronx,1,All Case Types,922,"2,083"
08/31/2018,Bronx,2,All Case Types,463,"1,052"
08/31/2018,Bronx,3,All Case Types,861,"1,973"
08/31/2018,Bronx,4,All Case Types,"1,060","2,517"
08/31/2018,Bronx,5,All Case Types,964,"2,225"
08/31/2018,Bronx,6,All Case Types,716,"1,707"
08/31/2018,Bronx,7,All Case Types,692,"1,559"
08/31/2018,Bronx,8,All Case Types,216,488
08/31/2018,Bronx,9,All Case Types,875,"1,966"
08/31/2018,Bronx,10,All Case Types,224,470
08/31/2018,Bronx,11,All Case Types,374,792
08/31/2018,Bronx,12,All Case Types,810,"1,828"
08/31/2018,Bronx,Unknown CD,All Case Types,"1,459","2,660"
08/31/2018,Brooklyn,1,All Case Types,240,460
08/31/2018,Brooklyn,2,All Case Types,232,399
08/31/2018,Brooklyn,3,All Case Types,953,"1,845"
08/31/2018,Brooklyn,4,All Case Types,387,761
08/31/2018,Brooklyn,5,All Case Types,"1,243","2,665"
08/31/2018,Brooklyn,6,All Case Types,173,343
08/31/2018,Brooklyn,7,All Case Types,130,277
08/31/2018,Brooklyn,8,All Case Types,482,937
08/31/2018,Brooklyn,9,All Case Types,336,629
08/31/2018,Brooklyn,10,All Case Types,58,97
08/31/2018,Brooklyn,11,All Case Types,94,184
08/31/2018,Brooklyn,12,All Case Types,80,158
08/31/2018,Brooklyn,13,All Case Types,213,446
08/31/2018,Brooklyn,14,All Case Types,288,577
08/31/2018,Brooklyn,15,All Case Types,95,189
08/31/2018,Brooklyn,16,All Case Types,796,"1,749"
08/31/2018,Brooklyn,17,All Case Types,652,"1,343"
08/31/2018,Brooklyn,18,All Case Types,404,824
08/31/2018,Brooklyn,Unknown CD,All Case Types,"1,224","2,087"
08/31/2018,Manhattan,1,All Case Types,183,403
08/31/2018,Manhattan,2,All Case Types,27,34
08/31/2018,Manhattan,3,All Case Types,363,683
08/31/2018,Manhattan,4,All Case Types,199,287
08/31/2018,Manhattan,5,All Case Types,121,174
08/31/2018,Manhattan,6,All Case Types,102,131
08/31/2018,Manhattan,7,All Case Types,202,360
08/31/2018,Manhattan,8,All Case Types,78,102
08/31/2018,Manhattan,9,All Case Types,377,717
08/31/2018,Manhattan,10,All Case Types,800,"1,508"
08/31/2018,Manhattan,11,All Case Types,765,"1,408"
08/31/2018,Manhattan,12,All Case Types,433,885
08/31/2018,Manhattan,Unknown CD,All Case Types,"1,788","2,579"
08/31/2018,Queens,1,All Case Types,498,713
08/31/2018,Queens,2,All Case Types,231,300
08/31/2018,Queens,3,All Case Types,139,292
08/31/2018,Queens,4,All Case Types,131,259
08/31/2018,Queens,5,All Case Types,121,251
08/31/2018,Queens,6,All Case Types,24,35
08/31/2018,Queens,7,All Case Types,98,184
08/31/2018,Queens,8,All Case Types,136,247
08/31/2018,Queens,9,All Case Types,151,318
08/31/2018,Queens,10,All Case Types,147,263
08/31/2018,Queens,11,All Case Types,23,40
08/31/2018,Queens,12,All Case Types,832,"1,702"
08/31/2018,Queens,13,All Case Types,310,596
08/31/2018,Queens,14,All Case Types,503,"1,051"
08/31/2018,Queens,Unknown CD,All Case Types,"1,052","1,929"
08/31/2018,Staten Island,1,All Case Types,387,906
08/31/2018,Staten Island,2,All Case Types,50,82
08/31/2018,Staten Island,3,All Case Types,30,61
08/31/2018,Staten Island,Unknown CD,All Case Types,106,190
07/31/2018,Bronx,1,All Case Types,876,"1,971"
07/31/2018,Bronx,2,All Case Types,400,904
07/31/2018,Bronx,3,All Case Types,821,"1,863"
07/31/2018,Bronx,4,All Case Types,936,"2,189"
07/31/2018,Bronx,5,All Case Types,869,"1,983"
07/31/2018,Bronx,6,All Case Types,679,"1,587"
07/31/2018,Bronx,7,All Case Types,651,"1,480"
07/31/2018,Bronx,8,All Case Types,200,431
07/31/2018,Bronx,9,All Case Types,805,"1,802"
07/31/2018,Bronx,10,All Case Types,215,443
07/31/2018,Bronx,11,All Case Types,354,730
07/31/2018,Bronx,12,All Case Types,775,"1,760"
07/31/2018,Bronx,Unknown CD,All Case Types,"1,488","2,769"
07/31/2018,Brooklyn,1,All Case Types,237,460
07/31/2018,Brooklyn,2,All Case Types,241,418
07/31/2018,Brooklyn,3,All Case Types,937,"1,754"
07/31/2018,Brooklyn,4,All Case Types,395,757
07/31/2018,Brooklyn,5,All Case Types,"1,211","2,601"
07/31/2018,Brooklyn,6,All Case Types,155,305
07/31/2018,Brooklyn,7,All Case Types,131,271
07/31/2018,Brooklyn,8,All Case Types,469,934
07/31/2018,Brooklyn,9,All Case Types,302,569
07/31/2018,Brooklyn,10,All Case Types,59,93
07/31/2018,Brooklyn,11,All Case Types,95,172
07/31/2018,Brooklyn,12,All Case Types,84,166
07/31/2018,Brooklyn,13,All Case Types,203,407
07/31/2018,Brooklyn,14,All Case Types,275,538
07/31/2018,Brooklyn,15,All Case Types,102,209
