Facility PK,Name,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zip Code,Latitude,Longitude,Zip Code,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
61070828,Bio-Care Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,222 8 Avenue,,Manhattan,10011,40.74423512,-73.99923492,(212) 255-3100,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,104,3,8700,1014060,1007710001,MN13
61071256,Sol's 4 Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Pharmacy,Other,"107-18 37 Drive,Pharmacy",,Queens,11368,40.75287074,-73.86075551,7186394107,Find free safer sex products inside a fishbowl located in front of the store at this location.,1.90E+13,1.90E+13,9:30 AM - 7:00 PM,9:30 AM - 7:00 PM,9:30 AM - 7:00 PM,9:30 AM - 7:00 PM,9:30 AM - 6:00 PM,8:30 AM - 3:00 PM,,TRUE,FALSE,FALSE,,,403,21,40300,4595616,4017740030,QN26
61071178,NYC Jamaica Sexual Health Clinc,Free Safer Sex Products,Condoms and Lubricant,,Sexual Health Clinics (NYC DOHMH),Clinical Facility,90-37 Parsons Boulevard,,Queens,11432,40.70381777,-73.80048265,311,Find free safer sex products inside a fishbowl located in the lobby on top of security desk/ clinic waiting area at this NYC Sexual Health Clinic (DOHMH),1.90E+13,1.90E+13,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,TRUE,FALSE,FALSE,,http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page,412,24,44601,4208836,4097560006,QN61
61070932,Deyanira Unisex,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,609 West 173 Street,,Manhattan,10032,40.8443551,-73.93803256,(646) 938-9174,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,112,10,26300,1063526,1021430021,MN36
61071342,Westside Tavern,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,360 West 23 Street,,Manhattan,10011,40.74597256,-74.00013714,NA,Find free safer sex products inside a dispenser located downstairs near the entrance at this bar/lounge.,1.90E+13,1.90E+13,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,TRUE,TRUE,TRUE,,,104,3,9300,1013373,1007460074,MN13
61071011,Hairworld Beauty Supply,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,9517 Church Avenue,,Brooklyn,11212,40.65528205,-73.91610532,(516) 437-1796,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,42,89000,3102644,3046920048,BK96
61071062,J&M Barber shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,215 East 167 Street,,Bronx,10456,40.83392491,-73.91611409,NA,Find free safer sex products inside a dispenser/fishbowl located in the back near the restroom at this barbershop.,1.90E+13,1.90E+13,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,9:00 AM - 4:00 PM,TRUE,FALSE,FALSE,,,204,16,17901,2002688,2024530024,BX14
61070914,CRCEC ENY,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"772 Vermont Street,Ground Flr",,Brooklyn,11207,40.66091444,-73.89024068,7182722363,Find free safer sex products at this social service.,1.90E+13,1.90E+13,1:00 PM - 6:00 PM,12:00 PM - 6:00 PM,,12:00 PM - 6:00 PM,,,,TRUE,TRUE,TRUE,,,305,42,112800,3096541,3043000045,BK85
61070874,Caribbean Sunshine Fruits,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,5714 Church Avenue,,Brooklyn,11203,40.65250951,-73.92350399,(347) 892-5200,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,317,41,93800,3343612,3047050007,BK96
61071213,Planet Rose,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,219 Avenue A,,Manhattan,10009,40.73002934,-73.98064259,NA,Find free safer sex products inside a fishbowl located near the counter at this bar/lounge.,1.90E+13,1.90E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3400,1006021,1004410032,MN22
61071229,Rainbow 88,Free Safer Sex Products,Condoms and Lubricant,,Business,Men's Spa,329 Bowery,,Manhattan,10003,40.72586413,-73.99196889,NA,Find free safer sex products inside a fishbowl located in the front at this men's spa.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,103,2,3602,1006544,1004580003,MN22
61070997,Gay Mens Health Crisis- Testing Center,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"307 West 38th Street,3rd Floor",,Manhattan,10018,40.75493942,-73.99217472,2123671100,Find free safer sex products inside a dispenser located in the lobby at this community center.,1.90E+13,1.90E+13,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,,TRUE,FALSE,TRUE,,,104,3,11500,1013643,1007620025,MN15
61070870,Callen-Lorde Community Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"356 West 18 Street,n/a",,Manhattan,10011,40.7428984,-74.00226993,(212) 271-7200,Find free safer sex products inside a dispenser/fishbowl located in the front at this clinical facility.,1.90E+13,1.90E+13,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 4:30 PM,8:30 AM - 3:00 PM,,TRUE,TRUE,TRUE,,http://callen-lorde.org/our-services,104,3,8300,1013088,1007410063,MN13
61070875,Carlos Pagan Recovery Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,561 Court Street,,Brooklyn,11231,40.67331851,-74.00023793,718-808-1300,Find free safer sex products inside a dispenser/fishbowl located on the 2nd floor at reception at this clinical facility.,1.90E+13,1.90E+13,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,7:00 AM - 11:00 AM,,TRUE,FALSE,TRUE,,,306,38,5300,3008190,3004810001,BK33
61070966,Emage Barbershop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1523 St Johns Place,,Brooklyn,11213,40.67038046,-73.92723607,(917) 600-2172,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,308,36,35700,3036900,3013800072,BK61
61071161,Northern Men's Sauna,Free Safer Sex Products,Condoms and Lubricant,,Business,Men's Spa,33-61 Farrington Street,,Queens,11354,40.7663098,-73.83252544,718-606-6121,Find free safer sex products inside a fishbowl located in the back at this men's spa.,1.90E+13,1.90E+13,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,TRUE,FALSE,TRUE,,,407,20,86900,4112002,4049500010,QN22
61071119,MediSys Ozone Park and Senior Health Center Clinic,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"91-20 Atlantic Avenue,2nd Floor",,Queens,11416,40.68745365,-73.85124717,(718) 641-8207,"Find free safer sex products inside a fishbowl located at the front desk, registration, and exam rooms at this location.",1.90E+13,1.90E+13,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:00 AM - 5:00 AM,8:00 AM - 5:00 PM,,TRUE,TRUE,TRUE,,,409,32,3400,4447810,4090270012,QN53
61071066,John Hon DO PLLC,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"831 56 Street,bsmt",,Brooklyn,11220,40.63727114,-74.00639903,7188518881,Find free safer sex products inside a condom dispenser located in the bathroom at this physician.,1.90E+13,1.90E+13,8:30 AM - 4:30 PM,,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,10:00 AM - 4:00 PM,TRUE,TRUE,TRUE,,,312,38,10600,3139537,3056790068,BK34
61071004,Green In Brooklyn,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,432 Myrtle Avenue,,Brooklyn,11205,40.69315885,-73.96832773,(718) 855-4383,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,302,35,19500,3054797,3019020022,BK69
61071260,St Anthony Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,3860 Broadway,,Manhattan,10032,40.83663946,-73.94297274,(212) 923-6111,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,112,7,24500,1062853,1021200001,MN36
61070845,Bottoms Up / Vodka Soda,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,315 West 46 Street,,Manhattan,10036,40.76009104,-73.98862937,718-292-8865,Find free safer sex products inside a fishbowl located on top of the atm at this bar/lounge.,1.90E+13,1.90E+13,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,104,3,12700,1075688,1010370024,MN15
61071293,The Graham,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,"151 Meserole Street,THE BAR",,Brooklyn,11206,40.70809712,-73.94306871,7183884682,Find free safer sex products inside a container located by the door at this bar/lounge.,1.90E+13,1.90E+13,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,TRUE,TRUE,TRUE,,,301,34,49300,3071005,3030440037,BK78
61070800,B Cup Cafe,Free Safer Sex Products,Condoms and Lubricant,,Business,Caf鑼,212 Avenue B,,Manhattan,10009,40.72859622,-73.97865139,NA,Find free safer sex products inside a fishbowl located on the counter at this caf鑼.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,103,2,3400,1005216,1004067501,MN22
61071285,The Charleston,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,174 Bedford Avenue,,Brooklyn,11249,40.7180614,-73.95748992,NA,Find free safer sex products inside a fishbowl located by the atm at this bar/lounge.,1.90E+13,1.90E+13,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,TRUE,FALSE,TRUE,,,301,33,55300,3061926,3023190022,BK73
61070831,Blind Tiger,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,281 Bleecker Street,,Manhattan,10014,40.73177934,-74.00330871,718-457-1934,Find free safer sex products inside a fishbowl located to the left of the bar at this bar/lounge.,1.90E+13,1.90E+13,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,TRUE,TRUE,TRUE,,,102,3,6700,1010152,1005900049,MN23
61070817,Bella Ciao Hair Studio,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,472 Marcus Garvey Boulevard,,Brooklyn,11216,40.68057791,-73.93757963,(718) 676-0507,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,303,36,27300,3053695,3018590022,BK35
61070945,Dominican Flow Unisex,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1532 St Johns Place,,Brooklyn,11213,40.67037234,-73.92742353,(347) 990-6976,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,308,36,35700,3037160,3013860015,BK61
61070816,Bedstyle Unisex Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,531 Nostrand Avenue,,Brooklyn,11216,40.67925262,-73.94960826,(516) 395-3998,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,303,36,24700,3053944,3018670011,BK61
61070990,Fort Washington Church,Free Safer Sex Products,Condoms and Lubricant,,Faith-Based Organization,Christian Organization,729 West 181 Street,,Manhattan,10033,40.85068417,-73.9374989,NA,Find free safer sex products inside a fishbowl located in the office at this christian organization.,1.90E+13,1.90E+13,,,,,,,,FALSE,FALSE,FALSE,,,112,10,27300,1064384,1021800001,MN35
61071224,Pure Perfections Hair Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,124 Utica Avenue,,Brooklyn,11213,40.67463968,-73.93057692,(347) 425-9340,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,308,36,30900,3330702,3013540050,BK61
61071026,HASA Center #48 Jerome Ctr,Free Safer Sex Products,Condoms and Lubricant,,Government,Community Center,888 Garrison Avenue,,Bronx,10474,40.81724955,-73.89186775,NA,Find free safer sex products inside a dispenser located in the waiting room at this community center.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,FALSE,,,202,17,9300,2005939,2027390015,BX27
61071087,La Sala (Formerly Crescent Lounge),Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,32-05 Crescent Street,,Queens,11106,40.76329992,-73.92852037,NA,Find free safer sex products inside a fishbowl located in the back near the restroom at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,401,22,5300,,4,QN70
61070941,Divas For Social Justice,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1604 Fulton Street,,Brooklyn,11213,40.67966606,-73.93650609,(718) 413-8031,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,303,36,27100,3397047,3016990027,BK61
61071248,SCO Family of Services Bob's Place,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"88-55 161 Street,N/A",,Queens,11432,40.70722128,-73.80047243,718 674 8307,Find free safer sex products inside a bowl located in front of the door at this social service.,1.90E+13,1.90E+13,,9:00 AM - 5:00 PM,1:00 PM - 9:00 PM,11:00 AM - 7:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,,TRUE,TRUE,TRUE,,,412,24,44602,4208990,4097670005,QN61
61071188,Ohlala Restaurant & Bakery,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,363 Utica Avenue,,Brooklyn,11213,40.6656922,-73.93140812,(718) 484-8811,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,309,41,34900,3038157,3014150006,BK61
61071142,Mr Biggs Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,596 10 Avenue,,Manhattan,10036,40.76038518,-73.99490305,NA,Find free safer sex products inside a fishbowl located on top of the atm at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,104,3,12100,1026343,1010530001,MN15
61071286,"The Child Center of NY, Asian Outreach Program",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Youth Center,"140-15B Sanford Avenue,2nd floor",,Queens,11355,40.75726806,-73.8266466,7183588288,Find free safer sex products inside a therapist's office located in sessions with clients' therapists at this youth center.,1.90E+13,1.90E+13,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,9:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,,407,20,85300,4114293,4050450001,QN22
61070768,3Coffee,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,30-27 Steinway Street,,Queens,11103,40.76301674,-73.91568753,(347) 418-2906,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,401,22,14900,4011249,4006800039,QN70
61070959,East Harlem Health Action Center,Free Safer Sex Products,Condoms and Lubricant,,Government,Government Agency,"158 East 115 Street,Room 107",,Manhattan,10029,40.79774855,-73.94169872,347-586-7695,Find free safer sex products inside a basket located at the front desk at this government agency.,1.90E+13,1.90E+13,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM,8:00 AM - 3:30 PM,,TRUE,TRUE,TRUE,,,111,8,18200,1052229,1016400147,MN34
61070776,Adult Primary Care Clinic at NYC H+H Bellevue,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Clinical Facility,"462 1 Avenue,Ambulatory Care Building (2nd floor Desk 2B)",,Manhattan,10016,40.73916596,-73.97686174,(212) 562-4141,Find free safer sex products inside a dispenser/fishbowl located in the waiting room/reception on 4th floor at this clinical facility.,1.90E+13,1.90E+13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 5:00 PM,,,TRUE,TRUE,FALSE,,https://www.nychealthandhospitals.org/bellevue,106,4,6200,1086515,1009620100,MN20
61070805,Barbers Studio,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,194 Utica Avenue,,Brooklyn,11213,40.67212287,-73.93082469,(347) 219-8397,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,308,36,34500,3036507,3013720044,BK61
61070824,Beyond Beauty Unisex Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1459 Fulton Street,,Brooklyn,11216,40.68002065,-73.94268897,(718) 221-1288,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,303,36,26900,3053644,3018570032,BK75
61070827,Big Russ Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1931 Madison Avenue,,Manhattan,10035,40.80504365,-73.94085067,(347) 551-8320,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,111,9,19800,1054006,1017490021,MN34
61071303,The Rosemont,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,63 Montrose Avenue,,Brooklyn,11206,40.70692444,-73.94743398,212-925-8219,Find free safer sex products inside a fishbowl located on the right side at the end of the bar at this bar/lounge.,1.90E+13,1.90E+13,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,301,34,51100,3071073,3030500034,BK90
61071037,Heidi Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,522 West 181 Street,,Manhattan,10033,40.84851537,-73.93185141,(212) 740-3737,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,112,10,26900,1063613,1021520066,MN35
61071284,"The Campaign Against Hunger, Inc",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"2010 Fulton Street,Ground Floor",,Brooklyn,11233,40.67863577,-73.91767659,718-773-3551 x,Find free safer sex products inside a box located at the reception desk at this social service.,1.90E+13,1.90E+13,10:00 AM - 4:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 4:00 PM,10:00 AM - 6:00 PM,,,TRUE,TRUE,TRUE,,,303,41,30100,3042111,3015490016,BK79
61070904,Community Healthcare Network - Williamsburg Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"94-98 Manhattan Avenue,n/a",,Brooklyn,11206,40.70551232,-73.94463986,(718) 388-0390,Find free safer sex products inside a dispenser located near the entrance at this clinical facility.,1.90E+13,1.90E+13,9:00 AM - 5:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 4:00 PM,,TRUE,TRUE,TRUE,,www.chnnyc.org,301,34,50500,3071335,3030790006,BK90
61070981,Family Service Network of New York,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"1420 Bushwick Avenue,Room# 336",,Brooklyn,11207,40.68431094,-73.90905575,347-770-9911 X6,Find free safer sex products inside a dispenser/fishbowl located at reception and downstairs at this social service.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,304,37,40300,3080067,3034440022,BK78
61071352,Zeraad Communications,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,23 Avenue C,,Manhattan,10009,40.7213614,-73.98084354,(212) 777-3447,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,103,2,2202,1004599,1003850038,MN28
61071277,Terrific'S Barber & Beauty Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1545 Broadway,,Brooklyn,11221,40.68625431,-73.91636188,(718) 453-1575,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,304,37,39700,3078143,3033940004,BK78
61070837,Boiler Room,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,86 East 4 Street,,Manhattan,10003,40.72602309,-73.98907536,718-610-2870,Find free safer sex products inside a fishbowl located in the lounge near window at this bar/lounge.,1.90E+13,1.90E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,103,2,3800,1006168,1004450009,MN22
